norm_weight,aux_weight,mean,std
0.01,0.5,0.07999999821186066
0.01,0.75,0.07400000095367432
0.01,1,0.07779999822378159
0.01,1.25,0.07279999554157257
0.01,1.5,0.08240000158548355
0.02,0.5,0.09520000219345093
0.02,0.75,0.1119999885559082
0.02,1,0.10440000146627426
0.02,1.25,0.10360000282526016
0.02,1.5,0.10759999603033066
0.05,0.5,0.10660000145435333
0.05,0.75,0.10379999876022339
0.05,1,0.09920000284910202
0.05,1.25,0.09380000084638596
0.05,1.5,0.09620000422000885
0.1,0.5,0.11160000413656235
0.1,0.75,0.11180000007152557
0.1,1,0.1120000034570694
0.1,1.25,0.11059999465942383
0.1,1.5,0.1072000041604042
